Borough,Area,Area Type,Percent Foreign-born (%),Top 1 Country,Top 1 % of Foreign-born,Top 2 Country,Top 2 % of Foreign-born,Top 3 Country,Top 3 % of Foreign-born,Top 4 Country,Top 4 % of Foreign-born,Top 5 Country,Top 5 % of Foreign-born
Bronx,Claremont-Mount Eden,Neighborhood,36,Dominican Republic,51.3,Mexico,9.4,Ghana,6.6,Ecuador,2.6,Jamaica,2.6
Bronx,Concourse,Neighborhood,36.6,Dominican Republic,41.2,Ghana,9.1,Mexico,8.3,Ecuador,6.6,Jamaica,3.3
Bronx,Bedford Park,Neighborhood,43.9,Dominican Republic,52.5,Mexico,9.8,Ghana,3.8,Ecuador,2.9,Bangladesh,2.6
Bronx,Fordham Heights,Neighborhood,47.2,Dominican Republic,55.5,Mexico,13.2,Ghana,6.8,Honduras,4.5,Guatemala,1.8
Bronx,Kingsbridge Heights-Van Cortlandt Village,Neighborhood,39.2,Dominican Republic,54.5,Mexico,5.2,Colombia,3.9,Cuba,3.1,Ethiopia,2.7
Bronx,Mount Hope,Neighborhood,45.7,Dominican Republic,52,Ghana,14,Mexico,4.6,Ecuador,3.1,Togo,2.6
Bronx,Norwood,Neighborhood,45.2,Dominican Republic,43.6,Mexico,12.1,Bangladesh,9.4,Ecuador,3.3,Jamaica,2.6
Bronx,University Heights-Morris Heights,Neighborhood,43,Dominican Republic,66.3,Mexico,6.9,Ghana,4.6,Jamaica,2.3,Ecuador,2.1
Bronx,Eastchester-Edenwald-Baychester,Neighborhood,36.4,Jamaica,51.1,Dominican Republic,9.6,Ghana,4.9,Nigeria,4.5,Guyana,4.2
Bronx,Wakefield-Woodlawn,Neighborhood,42,Jamaica,34.5,Guyana,13.8,Dominican Republic,11.8,Ghana,5.8,Nigeria,4.9
Bronx,Williamsbridge,Neighborhood,37.6,Jamaica,37.2,Dominican Republic,19.2,Guyana,5.6,Ghana,5.6,Mexico,3.6
Bronx,Allerton,Neighborhood,36.9,Dominican Republic,29,Jamaica,9.7,Mexico,6.8,Albania,5.9,Nigeria,4.5
Bronx,Soundview,Neighborhood,31.8,Dominican Republic,36.5,Mexico,8.6,Ecuador,6.8,Jamaica,6.2,Guyana,5.6
Bronx,Westchester Square,Neighborhood,43.5,Bangladesh,30,Dominican Republic,26,Mexico,7.6,Ecuador,7.2,Guyana,5.8
Brooklyn,Bushwick,Neighborhood,31.3,Dominican Republic,22.7,Ecuador,11,Mexico,9.7,China,6.3,Guyana,3.9
Brooklyn,Sunset Park,Neighborhood,47.4,China,46.7,Mexico,17,Dominican Republic,8.1,Ecuador,4.4,Guatemala,2.6
Brooklyn,Crown Heights,Neighborhood,30.4,Jamaica,12.4,Trinidad & Tobago,12,Haiti,9.1,Barbados,6.2,Guyana,5.8
Brooklyn,East Flatbush,Neighborhood,47.5,Jamaica,22.4,Haiti,15.4,Trinidad & Tobago,14.1,Guyana,12.6,Grenada,6.6
Brooklyn,Flatbush,Neighborhood,41.9,Haiti,17.3,Jamaica,11.2,Trinidad & Tobago,6.4,Mexico,5.6,Pakistan,4.9
Brooklyn,Midwood,Neighborhood,39.5,Ukraine,13.4,Russia,9.3,Uzbekistan,8.8,Pakistan,6.9,Belarus,4.9
Brooklyn,Prospect Lefferts Gardens-Wingate,Neighborhood,33.9,Jamaica,16.8,Trinidad & Tobago,14.2,Haiti,11.8,Grenada,8.3,Guyana,5.3
Brooklyn,Canarsie,Neighborhood,44.7,Jamaica,27.4,Haiti,25.3,Guyana,8.5,Trinidad & Tobago,6.9,Grenada,4.5
Brooklyn,Cypress Hills,Neighborhood,45.3,Dominican Republic,41.1,Ecuador,14.1,Guyana,11.6,Mexico,3.9,Trinidad & Tobago,2.8
Brooklyn,East New York,Neighborhood,34.7,Dominican Republic,15.3,Bangladesh,13.8,Guyana,13.7,Jamaica,11.2,Trinidad & Tobago,7.3
